"Word","Auditory.mean","Gustatory.mean","Haptic.mean","Interoceptive.mean","Olfactory.mean","Visual.mean","Auditory.SD","Gustatory.SD","Haptic.SD","Interoceptive.SD","Olfactory.SD","Visual.SD","Max_strength.perceptual","Exclusivity.perceptual","Dominant.perceptual","Minkowski3.perceptual","N_known.perceptual","Percent_known.perceptual"
"A",2.214,0,0.429,0,0,2.429,2.259,0,0.938,0,0,2.409,2.429,0.479,"Visual",2.934,14,0.737
"A CAPPELLA",4.333,0,0.222,0.722,0,1.667,1.609,0,0.548,1.364,0,1.91,4.333,0.624,"Auditory",4.421,18,0.947
"AARDVARK",1.625,0.562,1.625,0.062,1.25,4.125,1.784,1.263,1.928,0.25,1.88,1.258,4.125,0.439,"Visual",4.325,16,0.889
"ABACK",1.294,0.059,0.294,1.353,0,2.824,1.896,0.243,0.985,1.801,0,2.007,2.824,0.485,"Visual",3.007,17,0.85
"ABACUS",1.556,0.167,3.722,0.278,0.111,3.944,1.617,0.514,1.406,0.669,0.471,1.305,3.944,0.392,"Visual",4.887,18,0.947
"ABANDON",0.941,0.118,0.294,2.118,0.059,2.176,1.088,0.332,0.47,1.867,0.243,1.976,2.176,0.371,"Visual",2.744,17,0.944
"ABANDONED",1.444,0,0.056,1.667,0,2.778,1.822,0,0.236,2.169,0,1.987,2.778,0.467,"Visual",3.075,18,1
"ABANDONEE",1.938,0,1.375,0.562,0.25,3.938,1.843,0,1.893,1.413,1,1.389,3.938,0.488,"Visual",4.143,16,0.889
"ABANDONER",0.571,0,0.143,1.643,0,2.214,0.852,0,0.363,1.985,0,1.847,2.214,0.484,"Visual",2.492,14,0.933
"ABANDONMENT",2.133,0.067,1.2,2.933,0.067,3,1.727,0.258,1.74,1.792,0.258,1.964,3,0.312,"Visual",3.993,15,1
"ABASEMENT",2.833,0.167,0.667,1.25,0.167,3,1.899,0.389,0.985,1.545,0.389,1.595,3,0.351,"Visual",3.733,12,0.364
"ABBREVIATE",2.4,0,0.15,0.45,0,2.65,1.875,0,0.489,1.146,0,1.843,2.65,0.469,"Visual",3.192,20,1
"ABBREVIATED",1.889,0,0.278,0.444,0,3.111,2.083,0,0.826,0.922,0,2.083,3.111,0.544,"Visual",3.331,18,1
"ABBREVIATION",2.737,0.053,0.158,0.474,0,3.947,1.79,0.229,0.688,1.429,0,1.433,3.947,0.536,"Visual",4.347,19,1
"ABDICATE",2.333,0.167,0.167,0.417,0.25,3.25,2.103,0.577,0.577,0.996,0.866,1.658,3.25,0.468,"Visual",3.612,12,0.632
"ABDOMEN",0.588,0.235,3.294,2.353,0.235,3.647,1.372,0.97,1.649,2.234,0.97,2.029,3.647,0.33,"Visual",4.603,17,1
"ABDOMINAL",0.933,0.2,3.2,2.733,0.2,3.8,1.668,0.775,1.897,2.052,0.775,1.265,3.8,0.325,"Visual",4.775,15,0.938
"ABDOMINALLY",0.412,0.471,0.882,2.059,0.176,1.353,1.064,1.179,1.409,2.277,0.728,1.693,2.059,0.352,"Interoceptive",2.294,17,0.944
"ABDUCT",1.737,0,1,0.579,0.105,2.895,1.79,0,1.374,1.017,0.315,1.969,2.895,0.458,"Visual",3.131,19,1
"ABDUCTEE",1.25,0.1,0.6,0.55,0.1,2.9,1.618,0.447,1.314,1.538,0.447,1.917,2.9,0.509,"Visual",2.99,20,1
"ABDUCTION",2.059,0,1.529,2.176,0,4,1.853,0,1.586,1.845,0,1.173,4,0.41,"Visual",4.424,17,1
"ABDUCTOR",2.353,0.294,1.824,0.941,0.353,3.059,1.935,1.213,2.007,1.749,1.222,1.983,3.059,0.313,"Visual",3.65,17,0.944
"ABHOR",1.696,0,0.174,2.087,0.174,1.783,1.717,0,0.65,2.214,0.834,1.65,2.087,0.353,"Interoceptive",2.698,23,0.821
"ABHORRENCE",1.312,0.188,0.5,2.75,0.438,1.5,1.662,0.544,1.155,1.915,1.031,2,2.75,0.383,"Interoceptive",2.987,16,0.762
"ABHORRENTLY",2.267,0.867,0.467,2.733,1,2.267,1.831,1.457,0.64,2.154,1.558,1.831,2.733,0.236,"Interoceptive",3.569,15,0.789
"ABHORRING",1,0.2,0,3.2,0.2,1.4,1.414,0.561,0,2.111,0.561,1.805,3.2,0.533,"Interoceptive",3.318,15,0.789
"ABIDE",1.188,0.062,0.438,1.188,0.188,1.688,1.515,0.25,1.263,1.601,0.544,1.887,1.688,0.342,"Visual",2.02,16,0.889
"ABIDING",0.533,0.133,0.133,1.467,0.2,0.6,1.125,0.516,0.516,1.885,0.775,0.986,1.467,0.435,"Interoceptive",1.523,15,0.882
"ABIDINGLY",1.583,0.083,0.167,1.583,0.083,1.75,1.832,0.289,0.389,1.881,0.289,1.815,1.75,0.317,"Visual",2.37,12,0.632
"ABILITY",1.222,0.278,0.833,2.556,0.167,2,1.768,0.752,1.383,1.854,0.514,1.879,2.556,0.339,"Interoceptive",3.004,18,1
"ABLAZE",1.471,0,1.118,0.824,0.941,3.706,1.586,0,1.616,1.334,1.519,1.759,3.706,0.46,"Visual",3.845,17,1
"ABLE",1.133,0.933,1.267,3.067,0.667,2,1.885,1.831,2.187,1.486,1.496,2.268,3.067,0.265,"Interoceptive",3.46,15,1
"ABLY",1.176,0,0.235,1.176,0,2.529,1.629,0,0.752,1.667,0,2.065,2.529,0.494,"Visual",2.689,17,0.895
"ABNORMAL",1.895,1.263,2,2.053,1.526,3,1.997,1.851,1.795,2.013,2.01,1.915,3,0.148,"Visual",3.826,19,1
"ABNORMALITY",1.421,0.684,1.842,1.526,0.789,3.053,1.805,1.336,1.893,1.867,1.398,1.715,3.053,0.254,"Visual",3.474,19,1
"ABNORMALLY",1.056,0.444,1.111,2.389,0.444,2.556,1.662,0.856,1.41,1.944,0.856,1.947,2.556,0.264,"Visual",3.209,18,1
"ABOARD",1.19,0,0.714,0.714,0.238,2.857,1.289,0,1.146,1.146,0.625,1.74,2.857,0.5,"Visual",2.953,21,1
