job_id,generator,labels,literal,specificity,consistent,anchor_regime,anchors,n_samples
a2bc8923-6263-436f-a2d2-097f32982389,openai,pressure,0,0,0,strict,PRESS DOWN,10
b6744b50-f710-488f-838b-c3db80e680cc,claude,nociception+temperature,1,0,0,drift,,10
ee62e3aa-712b-4950-9557-8f7752da43e5,openai,nociception+vibration+pressure,0,1,1,paraphrase,JOLT; OSCILLATING; COMPRESS,10
6004162b-d483-4854-9220-abfc1852bdde,claude,nociception+temperature,1,0,0,strict,PAINFULNESS; FREEZE,10
18d2c5d6-b828-4a68-8c3a-b5024496cdb7,openai,nociception+temperature+pressure,1,0,0,paraphrase,SORE; FRIGID; SQUEEZE,10
5008943a-2e00-48e3-bc17-36c91c31fdac,claude,temperature,1,1,0,strict,COOLING,10
ebb72ecd-a016-4a59-bc4a-0dcbb4d20a37,openai,vibration+pressure,1,0,0,paraphrase,VIBRATING; SQUEEZE,10
d755028e-1c6c-405e-b360-e7e872285468,claude,nociception+temperature+pressure,1,1,0,paraphrase,THORNY; FROSTINESS; COMPRESS,10
7d4467c6-24d3-4b62-a5e9-02fd339886f9,openai,nociception+vibration+pressure,1,0,0,drift,,10
69e3e90d-8749-49bd-94d4-20511d9b8c4c,claude,nociception+vibration,1,1,0,drift,,10
8b328a1f-840f-4cc3-bff9-487ac2021c09,openai,temperature+pressure,0,0,1,drift,,10
650d566c-ab3c-442c-883c-bb2cfe12e120,claude,temperature,0,0,0,paraphrase,CHILLINESS,10
50bc7075-76fa-4d9c-91cb-835894f40cea,openai,nociception,0,1,1,strict,ACHING,10
9b81290d-a9fb-47fe-8cef-7c5a31b81ce8,claude,pressure,0,1,0,strict,TIGHT,10
1fe764ad-d4c9-4c6c-8b07-40186a4a0fad,openai,pressure,1,1,1,paraphrase,PRESS DOWN,10
78487bf8-0eaf-4e40-a7c5-5b83392396dc,claude,temperature+pressure,0,0,0,drift,,10
7a7b7a64-2651-4841-931b-affe85a17573,openai,nociception+pressure,1,0,0,drift,,10
e4a11eb1-1cd5-475b-bab5-ca2b1f60fe23,claude,nociception+pressure,0,1,1,strict,ELECTRIC SHOCK; PRESS DOWN,10
35e912ff-b174-49ba-8386-188781ff70a1,openai,nociception+temperature,0,0,1,drift,,10
c3ccf341-fba1-491d-a38e-a0aad546602d,claude,pressure,0,0,0,paraphrase,COMPRESSIBLE,10
ebc1ed48-257d-4eeb-8738-3edbe8122e37,openai,nociception+temperature+vibration,1,0,1,strict,BRUISE; WARMNESS; PULSE,10
f606d094-27d5-4bd1-b306-7ddae4e63140,claude,nociception+vibration,1,0,0,strict,PAINFULNESS; VIBRATION,10
ba96e057-a829-47d6-a087-3a8e8fbbe94b,openai,pressure,0,0,1,strict,TIGHTNESS,10
105143ef-5ce7-41b7-9b53-0d3bd9ed7b7d,claude,temperature+vibration+pressure,1,0,0,drift,,10
04a83ed3-092e-4864-a671-d1667646fc31,openai,vibration,0,1,1,strict,OSCILLATING,10
e7411046-5edf-4f2f-ba44-8acb84316241,claude,nociception,0,0,1,drift,,10
b2288d5f-6339-478e-a8a6-2a4c9fe3ff1c,openai,nociception+vibration,1,1,0,paraphrase,SORENESS; VIBRATION,10
8f9f94a4-5ac9-4656-b8c0-f2a99234733d,claude,nociception+temperature+vibration,1,1,1,strict,ELECTRICAL SHOCK; ICINESS; TREMBLING,10
253d0299-a64e-4f9d-ae15-b57b19c37706,openai,temperature+pressure,0,1,0,paraphrase,FROZEN; COMPRESS,10
0cb7c1c4-0226-4dab-8f9e-f4a9b9ffa96a,claude,nociception+temperature,1,0,1,drift,,10
82f72022-cb3e-4f93-8078-12c694807dbd,openai,temperature,1,1,1,paraphrase,WARMNESS,10
c086ae0a-db76-418f-85b0-eb4922a2550a,claude,nociception+temperature+pressure,0,0,0,drift,,10
270677ab-839b-4b32-b07c-7688cf278621,openai,temperature+vibration+pressure,1,1,1,strict,ICY; VIBRATE; COMPRESSION,10
c7cdb41e-1c17-41b1-850d-8e0af6d7e8c0,claude,nociception,0,0,1,strict,ITCHING,10
b4af1ab6-eb55-4f4b-81cd-c02ee0c99560,openai,nociception+pressure,0,0,0,strict,HURT; SQUEEZING,10
a44b9627-d707-4ead-9f2b-83153430a312,claude,vibration+pressure,0,0,1,paraphrase,OSCILLATING; COMPRESSION,10
aad9466d-35f8-491b-a117-d0a4b0ccd9e0,openai,nociception+pressure,0,0,1,paraphrase,HURTING; TENSION,10
c9b79978-e934-440e-b7b6-a895fd7d8d69,claude,nociception+temperature+pressure,0,0,0,paraphrase,PRICKED; ICY; TIGHTNESS,10
0d197a60-e07e-425e-a8b8-600d89bb06d7,openai,pressure,1,1,0,strict,COMPRESSION,10
b1b6e9fe-b200-4005-8339-1750bdaee600,claude,nociception+vibration+pressure,1,1,1,drift,,10
24babbdc-3ba8-49bd-9c35-220ad6dbd020,openai,vibration,1,0,1,strict,THROBBING,10
0a197b5c-a6f2-447c-8e6d-cb594f79c1f0,claude,temperature,0,1,1,strict,FROZEN,10
057101de-dfcd-4de7-a4af-3b2ce86747d7,openai,temperature+vibration,1,0,0,drift,,10
a08c8319-b8f3-47a7-8a5f-9d7b3f62d6fa,claude,vibration+pressure,0,1,0,drift,,10
51c4672c-558d-41e4-bdd3-f6d9f0b4a792,openai,nociception+temperature,1,1,1,paraphrase,BLISTERING; WARMTH,10
175ff90c-334e-48c8-bf66-70614cb460da,claude,nociception+temperature+pressure,0,1,0,drift,,10
f6009fce-830a-4030-8664-bde276f8a8aa,openai,nociception+vibration+pressure,1,0,1,strict,THORNY; VIBRATE; COMPRESSION,10
a5d4cf37-ed2c-469e-9e71-fdc0a426c610,claude,pressure,0,0,1,drift,,10
fa31d840-fb35-44b3-a657-de8f7d81974d,openai,temperature+vibration,1,0,0,strict,HEAT; TREMBLING,10
dea9589f-c937-4b7b-a2f9-6a3880c10436,claude,temperature,1,1,1,strict,HOTNESS,10
ffbf214b-05e2-4aa7-8330-7e3fb443483e,openai,nociception+temperature,1,1,0,drift,,10
77bbbf17-c61c-4c83-8178-95d4fbd4ef7e,claude,temperature+vibration+pressure,0,0,0,drift,,10
0559eb92-602a-4f43-bced-0681ddda2189,openai,nociception+pressure,1,1,1,strict,BRUISE; TENSION,10
62901a34-45ed-4299-af95-50fdacb95df9,claude,temperature+vibration,1,0,1,strict,COOLER; VIBRATE,10
e3badb25-762c-4a8d-9984-cf260203b910,openai,nociception+temperature+pressure,0,1,1,drift,,10
32d55279-6f1f-46d0-ab9d-bc9c124a78a2,claude,pressure,0,0,1,paraphrase,SQUEEZING,10
cf7ed605-9ff4-4484-90f0-30b4defb56a0,openai,nociception,1,0,1,paraphrase,ITCHING,10
51a02157-977f-4e1f-99ef-8c623e7b2fa0,claude,temperature+vibration,1,0,0,paraphrase,TEPID; VIBRATING,10
7fd30a10-3783-41f4-af9f-ac0219fda552,openai,temperature+vibration+pressure,1,0,0,paraphrase,FREEZING; PULSATE; PRESSURE,10
f0e033ba-07b7-4ee3-8522-51a1c99c72a7,claude,nociception,0,1,0,paraphrase,BURN,10
14dee5c4-fb90-4a37-9cc4-7302c38ebd9c,openai,vibration,0,1,0,paraphrase,TREMBLING,10
0f2b36d7-3d80-43c8-b126-8facb35ae708,claude,pressure,0,1,1,paraphrase,COMPRESSIBLE,10
063469af-0a67-416e-9785-f46d8bfda5ba,openai,temperature+pressure,0,0,0,paraphrase,FROZEN; COMPRESSIBLE,10
886bf376-3b49-4d79-a2b2-f367e2568e7c,claude,nociception+vibration+pressure,0,1,1,drift,,10
