Word,Auditory.mean,Gustatory.mean,Haptic.mean,Interoceptive.mean,Olfactory.mean,Visual.mean,Auditory.SD,Gustatory.SD,Haptic.SD,Interoceptive.SD,Olfactory.SD,Visual.SD,Max_strength.perceptual,Exclusivity.perceptual,Dominant.perceptual,Minkowski3.perceptual,N_known.perceptual,Percent_known.perceptual
HANDSHAKE,0.0,0.0,4.944,0.444,0.0,3.667,0.0,0.0,0.236,0.856,0.0,1.715,4.944,0.546,Haptic,5.543,18,1.0
PRICKLY,0.133,0.2,4.933,1.867,0.2,3.267,0.352,0.414,0.258,1.995,0.561,1.58,4.933,0.453,Haptic,5.445,15,0.938
PILLOW,0.529,0.0,4.882,1.529,1.0,4.706,1.281,0.0,0.332,1.972,1.837,0.772,4.882,0.386,Haptic,6.085,17,1.0
TOUCH,0.562,0.0,4.875,1.312,0.0,2.625,1.413,0.0,0.5,1.621,0.0,2.029,4.875,0.52,Haptic,5.147,16,1.0
TOUCHING,0.2,0.05,4.85,1.95,0.0,1.7,0.523,0.224,0.489,2.064,0.0,1.976,4.85,0.554,Haptic,5.019,20,1.0
VELVETINESS,0.316,0.579,4.842,0.368,0.0,2.316,0.946,1.427,0.375,1.165,0.0,1.797,4.842,0.575,Haptic,5.016,19,1.0
FUCKING,3.474,2.316,4.789,4.632,2.263,4.105,1.867,2.083,0.535,0.684,1.851,1.595,4.789,0.117,Haptic,7.009,19,1.0
RUB,0.833,0.167,4.778,1.556,0.278,3.167,1.15,0.707,0.732,1.977,0.752,1.886,4.778,0.428,Haptic,5.256,18,1.0
RUBDOWN,0.647,0.059,4.765,3.176,0.647,3.118,1.169,0.243,0.562,2.128,1.32,2.027,4.765,0.379,Haptic,5.551,17,0.944
GRIP,0.0,0.25,4.75,1.188,0.0,2.812,0.0,1.0,0.683,1.834,0.0,1.682,4.75,0.528,Haptic,5.08,16,1.0
TOUCHSCREEN,0.45,0.0,4.75,0.25,0.0,4.45,0.945,0.0,0.91,0.91,0.0,0.686,4.75,0.48,Haptic,5.803,20,1.0
FONDLE,0.095,0.048,4.714,2.286,0.0,2.714,0.301,0.218,0.784,1.978,0.0,1.901,4.714,0.478,Haptic,5.152,21,1.0
FEEL,1.0,1.235,4.706,2.706,0.824,1.412,1.658,1.751,0.772,1.993,1.629,1.805,4.706,0.327,Haptic,5.069,17,1.0
CUDDLY,0.412,0.0,4.706,1.765,0.059,2.941,1.004,0.0,0.772,1.855,0.243,1.983,4.706,0.476,Haptic,5.133,17,0.944
SOFTNESS,1.688,0.5,4.688,0.875,0.562,3.062,2.182,1.265,0.873,1.746,1.413,1.879,4.688,0.368,Haptic,5.161,16,1.0
PETTED,0.375,0.0,4.688,1.312,0.125,3.312,1.258,0.0,0.602,2.056,0.5,2.024,4.688,0.478,Haptic,5.213,16,0.941
FURRINESS,0.333,0.095,4.667,0.571,0.238,3.667,0.796,0.301,0.658,1.287,0.768,1.826,4.667,0.478,Haptic,5.327,21,1.0
KEYBOARD,3.056,0.278,4.667,0.778,0.278,4.333,1.893,1.179,0.686,1.437,1.179,1.283,4.667,0.328,Haptic,5.963,18,1.0
SMOOTH,1.278,1.556,4.667,1.111,0.5,3.056,1.742,2.064,1.188,1.676,1.339,2.043,4.667,0.342,Haptic,5.161,18,1.0
PUTTYLIKE,0.471,0.059,4.647,0.588,0.059,3.941,1.281,0.243,0.786,1.326,0.243,1.713,4.647,0.47,Haptic,5.45,17,0.944
SILKY,0.786,0.286,4.643,0.429,0.071,2.857,0.975,0.825,0.842,0.756,0.267,1.231,4.643,0.504,Haptic,4.987,14,1.0
BLOWJOB,2.158,3.368,4.632,3.947,1.579,4.053,1.951,1.95,1.212,1.81,1.895,1.353,4.632,0.155,Haptic,6.539,19,1.0
POKE,0.842,0.0,4.632,1.526,0.053,2.789,1.214,0.0,0.955,1.837,0.229,1.475,4.632,0.471,Haptic,5.003,19,1.0
SOLID,1.421,1.263,4.632,0.895,0.526,4.368,1.924,2.023,0.955,1.823,1.577,1.383,4.632,0.313,Haptic,5.733,19,1.0
KNOB,0.412,0.0,4.588,0.235,0.0,3.765,0.795,0.0,0.87,0.752,0.0,1.715,4.588,0.51,Haptic,5.314,17,0.944
HAIR DRYER,4.824,0.0,4.588,1.0,0.765,4.824,0.393,0.0,0.712,1.541,1.147,0.393,4.824,0.301,Auditory,6.858,17,1.0
INTERCOURSE,3.105,2.158,4.579,4.474,2.211,4.053,1.792,1.74,1.17,0.841,1.782,1.129,4.579,0.118,Haptic,6.716,19,1.0
NAIL,1.571,0.071,4.571,0.214,0.0,4.429,1.91,0.267,1.089,0.426,0.0,1.505,4.571,0.421,Haptic,5.711,14,1.0
TEXTURALLY,0.25,1.188,4.562,1.0,0.0,2.625,0.683,1.471,0.629,1.317,0.0,1.668,4.562,0.474,Haptic,4.874,16,0.889
