Word,Auditory.mean,Gustatory.mean,Haptic.mean,Interoceptive.mean,Olfactory.mean,Visual.mean,Auditory.SD,Gustatory.SD,Haptic.SD,Interoceptive.SD,Olfactory.SD,Visual.SD,Max_strength.perceptual,Exclusivity.perceptual,Dominant.perceptual,Minkowski3.perceptual,N_known.perceptual,Percent_known.perceptual
EVERYTHING,3.743,3.257,3.486,3.371,3.514,4.057,1.651,1.975,2.005,2.045,1.869,1.589,4.057,0.037,Visual,6.525,35,1.0
PIANO STOOL,0.432,0.027,3.486,0.189,0.135,4.162,0.959,0.164,1.85,0.569,0.419,1.444,4.162,0.49,Visual,4.857,37,1.0
FRIDGE,2.108,0.135,3.486,0.162,1.0,4.297,1.68,0.585,1.909,0.688,1.354,1.392,4.297,0.372,Visual,5.093,37,1.0
TABLECLOTH,0.606,0.121,3.485,0.182,0.364,4.212,1.413,0.415,1.661,0.727,1.025,1.193,4.212,0.456,Visual,4.896,33,1.0
KITCHEN STOVE,1.273,0.333,3.485,0.091,1.818,4.273,1.663,0.854,1.906,0.522,1.862,1.442,4.273,0.371,Visual,5.045,33,1.0
LAUNDRY BASKET,0.286,0.0,3.476,0.143,0.667,4.571,0.717,0.0,1.504,0.478,1.354,0.676,4.571,0.5,Visual,5.166,21,1.0
SHARPNESS,1.0,0.714,3.476,0.667,0.286,3.095,1.549,1.231,2.064,1.354,0.717,1.868,3.476,0.345,Haptic,4.186,21,1.0
IPHONE,2.952,0.0,3.476,0.238,0.048,4.381,1.774,0.0,1.94,0.436,0.218,0.865,4.381,0.395,Visual,5.335,21,1.0
CANDLEHOLDER,0.475,0.0,3.475,0.4,0.975,3.925,1.012,0.0,1.585,1.194,1.609,1.591,3.925,0.424,Visual,4.696,40,0.976
MUSHY,1.579,2.158,3.474,0.421,0.474,3.0,1.865,1.951,2.038,1.17,1.219,1.972,3.474,0.275,Haptic,4.363,19,1.0
WARMISH,0.368,0.737,3.474,3.105,0.211,1.0,1.012,1.195,1.775,1.941,0.631,1.247,3.474,0.367,Haptic,4.185,19,1.0
WATER SKI,1.632,0.0,3.474,1.211,0.211,3.895,1.739,0.0,1.389,1.273,0.419,1.286,3.895,0.374,Visual,4.749,19,1.0
WATERMELON,0.474,4.684,3.474,1.0,3.684,4.263,0.905,0.749,2.118,1.795,1.635,1.147,4.684,0.24,Gustatory,6.489,19,1.0
DINNERWARE,0.737,0.211,3.474,0.105,0.105,3.684,1.558,0.631,1.679,0.459,0.459,1.635,3.684,0.43,Visual,4.52,19,1.0
DRUMSTICK,2.316,1.526,3.474,0.895,1.316,3.684,2.237,2.118,1.712,1.595,1.857,1.635,3.684,0.211,Visual,4.804,19,1.0
WASHTUB,1.105,0.0,3.474,0.105,0.474,4.263,1.41,0.0,1.775,0.459,0.841,1.558,4.263,0.453,Visual,4.944,19,0.95
SOAPSUDS,0.737,0.158,3.474,0.316,1.474,4.158,1.447,0.375,1.712,0.82,1.577,1.425,4.158,0.388,Visual,4.897,19,0.95
TICKLER,1.789,0.421,3.474,2.526,0.421,2.158,2.016,1.216,2.065,2.22,1.216,2.167,3.474,0.283,Haptic,4.198,19,0.905
SANDWICH,0.526,4.421,3.474,1.368,3.263,3.895,0.905,1.121,1.467,1.978,1.593,1.41,4.421,0.23,Gustatory,6.081,19,0.95
HAIRBRUSH,0.316,0.0,3.474,0.368,0.158,3.947,0.749,0.0,1.307,1.116,0.501,1.393,3.947,0.478,Visual,4.695,19,0.95
SLEEPWEAR,0.053,0.0,3.474,0.263,0.158,3.316,0.229,0.0,1.896,0.562,0.501,1.797,3.474,0.478,Haptic,4.28,19,1.0
